sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
412,3.559443,9.205,4.588,3.701,0.758,0.158
413,3.56757,9.5,4.894,2.171,1.168,1.267
414,3.576161,9.191,4.612,3.078,1.192,0.309
415,3.584455,9.211,4.66,3.517,0.867,0.167
416,3.594607,8.88,4.621,3.468,0.612,0.179
417,3.602781,9.138,4.678,3.351,0.836,0.273
418,3.611464,8.696,4.524,3.127,0.793,0.252
419,3.619867,9.645,4.651,3.902,0.615,0.477
420,3.62828,9.36,4.828,3.071,1.068,0.393
421,3.636746,9.17,4.628,3.394,0.935,0.213
422,3.644938,9.264,4.771,3.115,1.159,0.219
423,3.653463,9.395,4.631,3.563,0.691,0.51
424,3.663467,8.831,4.637,2.928,0.592,0.674
425,3.672149,8.849,4.629,3.031,0.608,0.581
426,3.680318,9.492,4.722,3.753,0.657,0.36
427,3.688556,9.779,4.939,3.794,0.65,0.396
428,3.697004,9.72,4.93,3.06,1.175,0.555
429,3.705074,9.746,4.857,2.933,1.515,0.441
430,3.713813,9.569,4.65,2.33,1.328,1.261
431,3.722333,9.386,4.556,3.008,1.238,0.584
432,3.732325,8.776,4.56,3.182,0.646,0.388
433,3.740939,9.212,4.603,3.744,0.612,0.253
434,3.750902,9.448,4.625,3.861,0.597,0.365
435,3.75938,9.266,4.695,3.66,0.645,0.266
436,3.76742,9.54,4.882,2.543,1.253,0.862
437,3.77611,9.356,4.591,3.154,1.192,0.419
438,3.78423,9.492,4.51,3.686,0.961,0.335
439,3.792778,9.238,4.646,3.364,0.919,0.309
440,3.801052,9.278,4.611,3.772,0.614,0.281
441,3.809329,9.479,4.874,3.553,0.632,0.42
442,3.817861,9.652,4.846,3.71,0.629,0.467
443,3.826531,9.216,4.715,3.394,0.748,0.359
444,3.834515,9.698,4.828,2.472,1.216,1.182
445,3.843008,9.311,4.588,3.188,1.275,0.26
446,3.853487,9.02,4.599,3.544,0.577,0.3
447,3.861519,9.363,4.846,2.271,1.002,1.244
448,3.869975,9.172,4.701,3.242,0.956,0.273
449,3.87793,9.54,4.738,3.225,1.314,0.263
450,3.886509,9.26,4.611,3.534,0.882,0.233
451,3.89488,9.169,4.576,3.371,1.045,0.177
452,3.903332,9.086,4.567,3.075,1.11,0.334
453,3.913502,9.03,4.708,3.494,0.654,0.174
454,3.921667,9.245,4.727,3.355,0.941,0.222
455,3.930338,8.866,4.583,3.054,0.923,0.306
456,3.938654,8.874,4.615,3.48,0.624,0.155
457,3.947212,8.842,4.599,3.025,0.691,0.527
458,3.955031,9.223,4.77,3.1,1.033,0.32
459,3.96362,8.952,4.612,3.368,0.771,0.201
460,3.973782,8.8,4.601,3.405,0.614,0.18
461,3.982378,8.567,4.574,2.895,0.616,0.482
462,3.992313,8.592,4.574,2.987,0.677,0.354
463,4.000754,8.912,4.597,3.403,0.66,0.252
464,4.009579,8.887,4.637,2.986,0.777,0.487
465,4.017393,9.369,4.739,3.481,0.914,0.235
466,4.025961,9.206,4.587,3.769,0.636,0.214
467,4.034335,9.2,4.636,2.902,1.108,0.554
468,4.04242,9.373,4.574,2.862,1.417,0.52
469,4.050611,9.519,4.621,3.431,1.293,0.174
470,4.059292,9.171,4.544,3.089,1.277,0.261
471,4.067369,9.414,4.485,3.142,1.591,0.196
472,4.075937,9.21,4.595,3.316,1.114,0.185
473,4.08389,9.559,4.837,3.573,1.002,0.147
474,4.094569,8.98,4.627,3.56,0.642,0.151
475,4.103235,8.636,4.541,3.107,0.718,0.27
476,4.111566,9.37,4.554,3.663,0.656,0.497
477,4.119984,9.039,4.721,3.175,0.839,0.304
478,4.127965,9.389,4.697,3.15,1.234,0.308
479,4.136637,8.996,4.616,3.53,0.671,0.179
480,4.14503,9.416,4.666,3.109,0.877,0.764
481,4.153189,9.293,4.528,3.073,1.224,0.468
482,4.163579,9.155,4.618,2.198,0.801,1.538
483,4.171902,8.954,4.571,2.23,0.858,1.295
484,4.180995,9.63,4.592,3.977,0.744,0.317
485,4.189095,10.567,5.104,2.529,1.267,1.667
486,4.197159,10.183,4.56,3.08,2.074,0.469
487,4.205699,10.035,4.557,3.531,1.522,0.425
488,4.213654,10.47,4.813,2.3,2.001,1.356
489,4.223966,9.351,4.599,3.813,0.654,0.285
490,4.234345,8.829,4.573,3.078,0.672,0.506
491,4.242993,8.917,4.577,3.241,0.773,0.326
492,4.25094,9.327,4.804,3.06,1.0,0.463
493,4.259271,9.343,4.476,3.207,1.304,0.356
494,4.267752,9.355,4.659,3.349,0.821,0.526
495,4.276141,9.106,4.594,3.045,1.005,0.462
496,4.284317,9.241,4.601,3.013,1.155,0.472
497,4.29291,9.034,4.611,3.349,0.72,0.354
498,4.300931,9.395,4.784,3.044,1.007,0.56
499,4.309826,9.117,4.64,2.207,0.793,1.477
500,4.317309,9.691,4.537,2.995,1.74,0.419
501,4.326163,9.15,4.594,3.128,1.165,0.263
502,4.334392,9.212,4.596,3.706,0.744,0.166
503,4.344566,8.907,4.599,3.487,0.619,0.202
504,4.353029,9.075,4.632,3.629,0.615,0.199
505,4.361296,9.218,4.584,3.093,1.209,0.332
